source,target
Straumsnes,Kristiansund Mainland Connection
Kristiansund Mainland Connection,Batnfjordsøra
Batnfjordsøra,Molde
Vestnes,Skodje
Skodje,Ålesund
Ålesund,Volda
Ålesund,Tresfjord
Volda,Nordfjordeid
Instefjord,Knarvik
Knarvik,Bergen
Bergen,Os
Bergen,Arna
Arna,Voss
Rennesøy,Randaberg
Randaberg,Stavanger
Stavanger,Sandnes
Sandnes,Helleland
Helleland,Flekkefjord
Flekkefjord,Lyngdal
Lyngdal,Mandal
Mandal,Kristiansand
Kristiansand,Arendal
Arendal,Porsgrunn
Hirtshals,Hjørring
Puttgarden,Oldenburg in Holstein
Tournai,Kortrijk
Schönberg,Vojtanov
Vojtanov,Cheb
Cheb,Marktredwitz
Veszprém,Székesfehérvár
Posio,Kuusamo
Kuusamo,Kajaani
Kajaani,Iisalmi
Turku,Pori
Vaasa,Pori
Šiauliai,Tolpaki
Šiauliai,Panevėžys
Rēzekne,Daugavpils
Rēzekne,Ostrov
Kudowa-Zdrój,Náchod
Mohács,Osijek
Osijek,Đakovo
Đakovo,Šamac
Šamac,Zenica
Zenica,Mostar
Zenica,Donji Vakuf
Mostar,Metković
Donji Vakuf,Jajce
Tolpaki,Nesterov
Deva,Petroşani
Vidin,Vraca
Malko Tarnovo,Dereköy
Dereköy,Kırklareli
Kırklareli,Babaeski
Babaeski,Havsa
Tekirdağ,Silivri
İzmir,Selçuk
İzmir,Usak
İzmir,Manisa
İzmir,Çeşme
Selçuk,Aydın
Usak,Afyonkarahisar
Aydın,Denizli
Denizli,Acıpayam
Acıpayam,Korkuteli
Korkuteli,Antalya
Kherson,Melitopol
Şanlıurfa,Diyarbakır
Diyarbakır,Bitlis
Bitlis,Doğubeyazit
Doğubeyazit,Iğdir
Iğdir,Dilucu
Dilucu,Sadarak
Sadarak,Nakhchivan
Nakhchivan,Djulfa
Linköping,Norrköping
Kolari,Kilpisjärvi
Tromsø,Nordkjosbotn
Nordkjosbotn,Skibotn
Skibotn,Kilpisjärvi
Voss,Lærdal
Lærdal,Tyin
Tyin,Fagernes
Fagernes,Hønefoss
Porsgrunn,Larvik
Larvik,Sandefjord
Sandefjord,Horten
Kongsberg,Seljord
Nizhny Novgorod,Kazan
Perm,Yekaterinburg
Karabutak,Aral
Dunkirk,Lille
Lille,Mons
Wittlich,Bingen
Leuşeni,Albiţa
Grosseto,Arezzo
Bragança,Zamora
Bragança,Guarda
Viseu,Coimbra
Chaves,Verín
Chaves,Famalicão
Zamora,Tordesillas
Guarda,Castelo Branco
Sivas,Refahiye
Afyonkarahisar,Sivrihisar
Bagratashen,Vanadzor
Mehgri,Ordubad
Ordubad,Djulfa
Murghab,Kulma
Ishkoshim,Lyanga
Lyanga,China
Kegen,Tyup
Zapadnoe,Zhaksy
Zapadnoe,Petropavl
Haugesund,Røldal
Røldal,Haukeli
Haukeli,Seljord
Haselünne,Cloppenburg
Võru,Luhamaa
Valga,Valka
Valka,Valmiera
Valmiera,Incukalns
Tişiţa,Tecuci
Tecuci,Albiţa
Balatonkeresztúr,Nagyatád
Nagyatád,Barcs
Barcs,Virovitica
Virovitica,Okučani
Okučani,Banja Luka
Banja Luka,Jajce
Jajce,Bihać
Kraljevo,Kruševac
Kruševac,Pojate
Pojate,Paraćin
Paraćin,Zaječar
Castelo Branco,Portalegre
Castelo Branco,Abrantes
Portalegre,Évora
Abrantes,Torres Novas
Évora,Beja
Beja,Ourique
Agrinio,Messolonghi
Aktio,Vonitsa
Vonitsa,Amfilochia
